text,label,urgency_score,sender_type,sender_tier
"Happy birthday to Raj btw, don't forget to wish.",low,0.243,peer,1
"new project kicking off monday, you're assigned",medium,0.3865,manager,3
"Building fire alarm triggered, evacuate immediately!",high,0.9388,unknown,0
"Final: board presentation in 8 minutes, file won't open",high,0.7352,manager,3
"hey, how's the new project going?",low,0.3104,peer,1
Urgent: lawyer needs document signed in next 30 min!,high,0.8887,manager,3
just checking in!,low,0.0903,peer,1
"Hey, enjoyed the presentation today!",low,0.3398,peer,1
"Bro the server is literally on fire, call me now",high,0.845,peer,1
Team: please fill in the availability form by Thursday,medium,0.6169,manager,3
Budget spreadsheet needs your sign-off this week.,medium,0.5569,manager,3
Team: please test the new feature in staging.,medium,0.687,manager,3
"ceo needs the numbers in 10 minutes, send immediately",high,0.8292,manager,3
DEADLINE: Submit the report in the next 20 minutes or we lose the contract,high,0.7634,manager,3
"Server memory leak crashing every 10 min, need patch NOW",high,0.7261,peer,1
"load balancer config change tonight, be aware",medium,0.6639,peer,1
"Medical emergency at office, everyone please respond",high,0.7756,unknown,0
when are you free for a quick catch-up call?,low,0.1518,peer,1
Expense report needs to be submitted this week.,medium,0.4432,unknown,0
"The staging environment is acting up, can you check?",medium,0.5878,peer,1
Mom: beta CALL ME NOW something happened to dad!,high,0.7379,family,2
"Fraud alert: unusual activity on your account, call bank!",high,0.9652,unknown,0
database corruption detected - halt all writes immediately,high,0.8634,peer,1
"Power outage in datacenter, backup failing",high,0.9182,peer,1
Please respond to client's email from yesterday.,medium,0.6346,manager,3
please review the proposal before the meeting,medium,0.3878,peer,1
"New project kicking off Monday, you're assigned",medium,0.4473,manager,3
Team: code freeze is Thursday EOD,medium,0.6369,manager,3
"New project kicking off Monday, you're assigned",medium,0.4068,manager,3
heads up: client visiting office tomorrow,medium,0.4975,manager,3
"standby for oncall this weekend, you're primary",medium,0.595,manager,3
are we still on for friday drinks?,low,0.176,peer,1
Your access request has been approved,medium,0.6898,unknown,0
"Call me RIGHT NOW, something went wrong with the release!",high,0.7938,manager,3
"The staging environment is acting up, can you check?",medium,0.6795,peer,1
"Call me RIGHT NOW, something went wrong with the release",high,0.8142,manager,3
survey: rate your experience with us,low,0.2413,unknown,0
"System alert: CPU at 99% for 15 min, intervention needed",high,0.7687,unknown,0
